文件路径,问题类型,ID_1,ID_2,要素面积_亩,重叠面积_亩,说明,CSV保存路径,自动合并到ID,合并后SHP路径
K49E016023_2025.shp,面重叠,15242,18866,,1.007e-05,两个面存在实际重叠；仅共边或共点不计入,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,面重叠,18940,18946,,0.00014809,两个面存在实际重叠；仅共边或共点不计入,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,面重叠,18942,18946,,4.383e-05,两个面存在实际重叠；仅共边或共点不计入,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,面重叠,18946,18994,,4.112e-05,两个面存在实际重叠；仅共边或共点不计入,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,面重叠,18946,19041,,2.515e-05,两个面存在实际重叠；仅共边或共点不计入,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,面重叠,18946,19028,,0.00013923,两个面存在实际重叠；仅共边或共点不计入,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,面重叠,18946,19030,,3.27e-05,两个面存在实际重叠；仅共边或共点不计入,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,面重叠,18946,18974,,9.74e-05,两个面存在实际重叠；仅共边或共点不计入,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,面重叠,18946,19027,,1.163e-05,两个面存在实际重叠；仅共边或共点不计入,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,152,147,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,147,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,609,574,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,574,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,1372,1406,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,1406,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,2220,2422,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,2422,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,2382,493,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,493,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,3195,3240,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,3240,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,3269,3183,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,3183,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,3320,3270,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,3270,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,3707,3776,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,3776,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,4298,13821,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,13821,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
K49E016023_2025.shp,已自动合并,4701,4736,,,小面积面已合并，目标选择方式：相邻最大面积面,/home/cangling/code/shp_xiangjiao/CSV/K49E016023_2025.csv,4736,/media/cangling/nas_folder/private/zhy/兴和县_修正/K49E016023_2025.shp
